metric_code,date_time,week_num,value,location,status
fwater_ec,2025-03-15,2025-11,139.75,GH1,low-ec-to-verify
fwater_ec,2025-03-16,2025-11,136.0,GH1,low-ec-to-verify
fwater_ec,2025-03-17,2025-12,140.5,GH1,low-ec-to-verify
fwater_ec,2025-03-18,2025-12,135.0,GH1,low-ec-to-verify
fwater_ec,2025-03-19,2025-12,143.0,GH1,low-ec-to-verify
fwater_ec,2025-03-20,2025-12,135.5,GH1,low-ec-to-verify
fwater_ec,2025-03-21,2025-12,135.25,GH1,low-ec-to-verify
fwater_ec,2025-03-22,2025-12,136.25,GH1,low-ec-to-verify
fwater_ec,2025-03-23,2025-12,135.25,GH1,low-ec-to-verify
fwater_ec,2025-03-24,2025-13,138.0,GH1,low-ec-to-verify
fwater_ec,2025-03-25,2025-13,139.0,GH1,low-ec-to-verify
fwater_ec,2025-03-26,2025-13,139.0,GH1,low-ec-to-verify
fwater_ec,2025-03-27,2025-13,141.0,GH1,low-ec-to-verify
fwater_ec,2025-03-28,2025-13,136.0,GH1,low-ec-to-verify
fwater_ec,2025-03-29,2025-13,37.0,GH1,low-ec-to-verify
fwater_ec,2025-03-30,2025-13,141.0,GH1,low-ec-to-verify
fwater_ec,2025-03-31,2025-14,113.0,GH1,low-ec-to-verify
fwater_ec,2025-04-01,2025-14,140.0,GH1,low-ec-to-verify
fwater_ec,2025-04-02,2025-14,139.0,GH1,low-ec-to-verify
fwater_ec,2025-04-03,2025-14,138.0,GH1,low-ec-to-verify
fwater_ec,2025-04-04,2025-14,147.0,GH1,low-ec-to-verify
fwater_ec,2025-04-05,2025-14,138.0,GH1,low-ec-to-verify
fwater_ec,2025-04-06,2025-14,144.0,GH1,low-ec-to-verify
fwater_ec,2025-04-07,2025-15,143.5,GH1,low-ec-to-verify
fwater_ec,2025-04-08,2025-15,143.33,GH1,low-ec-to-verify
fwater_ec,2025-04-09,2025-15,146.5,GH1,low-ec-to-verify
fwater_ec,2025-04-10,2025-15,154.75,GH1,low-ec-to-verify
fwater_ec,2025-04-11,2025-15,146.75,GH1,low-ec-to-verify
fwater_ec,2025-04-12,2025-15,148.75,GH1,low-ec-to-verify
fwater_ec,2025-04-13,2025-15,140.5,GH1,low-ec-to-verify
fwater_ec,2025-04-14,2025-16,159.75,GH1,low-ec-to-verify
fwater_ec,2025-04-15,2025-16,148.5,GH1,low-ec-to-verify
fwater_ec,2025-04-16,2025-16,157.0,GH1,low-ec-to-verify
fwater_ec,2025-04-17,2025-16,154.5,GH1,low-ec-to-verify
fwater_ec,2025-04-18,2025-16,168.0,GH1,low-ec-to-verify
fwater_ec,2025-04-19,2025-16,162.25,GH1,low-ec-to-verify
fwater_ec,2025-04-20,2025-16,154.0,GH1,low-ec-to-verify
fwater_ec,2025-04-21,2025-17,150.25,GH1,low-ec-to-verify
fwater_ec,2025-04-22,2025-17,147.25,GH1,low-ec-to-verify
fwater_ec,2025-04-23,2025-17,148.75,GH1,low-ec-to-verify
fwater_ec,2025-04-24,2025-17,158.0,GH1,low-ec-to-verify
fwater_ec,2025-04-25,2025-17,155.0,GH1,low-ec-to-verify
fwater_ec,2025-04-26,2025-17,152.0,GH1,low-ec-to-verify
fwater_ec,2025-04-27,2025-17,152.5,GH1,low-ec-to-verify
fwater_ec,2025-04-28,2025-18,152.0,GH1,low-ec-to-verify
fwater_ec,2025-04-29,2025-18,152.5,GH1,low-ec-to-verify
fwater_ec,2025-04-30,2025-18,150.5,GH1,low-ec-to-verify
fwater_ec,2025-05-01,2025-18,147.5,GH1,low-ec-to-verify
fwater_ec,2025-05-02,2025-18,153.5,GH1,low-ec-to-verify
fwater_ec,2025-05-03,2025-18,156.75,GH1,low-ec-to-verify
fwater_ec,2025-05-04,2025-18,149.75,GH1,low-ec-to-verify
fwater_ec,2025-05-05,2025-19,153.75,GH1,low-ec-to-verify
fwater_ec,2025-05-06,2025-19,153.5,GH1,low-ec-to-verify
fwater_ec,2025-05-07,2025-19,156.25,GH1,low-ec-to-verify
fwater_ec,2025-05-08,2025-19,147.75,GH1,low-ec-to-verify
fwater_ec,2025-05-09,2025-19,158.5,GH1,low-ec-to-verify
fwater_ec,2025-05-10,2025-19,156.25,GH1,low-ec-to-verify
fwater_ec,2025-05-11,2025-19,,GH1,non-numeric
fwater_ec,2025-05-12,2025-20,152.0,GH1,low-ec-to-verify
fwater_ec,2025-05-13,2025-20,152.0,GH1,low-ec-to-verify
fwater_ec,2025-05-14,2025-20,148.0,GH1,low-ec-to-verify
fwater_ec,2025-05-15,2025-20,152.0,GH1,low-ec-to-verify
fwater_ec,2025-05-16,2025-20,150.0,GH1,low-ec-to-verify
fwater_ec,2025-05-17,2025-20,154.0,GH1,low-ec-to-verify
fwater_ec,2025-05-18,2025-20,145.0,GH1,low-ec-to-verify
fwater_ec,2025-05-19,2025-21,150.0,GH1,low-ec-to-verify
fwater_ec,2025-05-20,2025-21,157.5,GH1,low-ec-to-verify
fwater_ec,2025-05-21,2025-21,152.0,GH1,low-ec-to-verify
fwater_ec,2025-05-22,2025-21,153.0,GH1,low-ec-to-verify
fwater_ec,2025-05-23,2025-21,155.0,GH1,low-ec-to-verify
fwater_ec,2025-05-24,2025-21,155.0,GH1,low-ec-to-verify
fwater_ec,2025-05-25,2025-21,156.0,GH1,low-ec-to-verify
fwater_ec,2025-05-26,2025-22,0.6,GH1,low-ec-to-verify
fwater_ec,2025-05-27,2025-22,150.5,GH1,low-ec-to-verify
fwater_ec,2025-05-28,2025-22,154.25,GH1,low-ec-to-verify
fwater_ec,2025-05-29,2025-22,154.0,GH1,low-ec-to-verify
fwater_ec,2025-05-30,2025-22,151.0,GH1,low-ec-to-verify
fwater_ec,2025-05-31,2025-22,149.0,GH1,low-ec-to-verify
fwater_ec,2025-06-01,2025-22,152.0,GH1,low-ec-to-verify
fwater_ec,2025-06-02,2025-23,156.35,GH1,low-ec-to-verify
fwater_ec,2025-06-03,2025-23,160.25,GH1,low-ec-to-verify
fwater_ec,2025-06-04,2025-23,158.5,GH1,low-ec-to-verify
fwater_ec,2025-06-05,2025-23,159.75,GH1,low-ec-to-verify
fwater_ec,2025-06-06,2025-23,153.0,GH1,low-ec-to-verify
fwater_ec,2025-06-07,2025-23,154.0,GH1,low-ec-to-verify
fwater_ec,2025-06-08,2025-23,155.5,GH1,low-ec-to-verify
fwater_ec,2025-06-09,2025-24,156.25,GH1,low-ec-to-verify
fwater_ec,2025-06-10,2025-24,156.75,GH1,low-ec-to-verify
fwater_ec,2025-06-11,2025-24,1505.0,GH1,
fwater_ec,2025-06-12,2025-24,153.5,GH1,low-ec-to-verify
fwater_ec,2025-06-13,2025-24,158.0,GH1,low-ec-to-verify
fwater_ec,2025-06-14,2025-24,153.0,GH1,low-ec-to-verify
fwater_ec,2025-06-15,2025-24,168.25,GH1,low-ec-to-verify
fwater_ec,2025-06-16,2025-25,163.0,GH1,low-ec-to-verify
fwater_ec,2025-06-17,2025-25,164.0,GH1,low-ec-to-verify
fwater_ec,2025-06-18,2025-25,162.0,GH1,low-ec-to-verify
fwater_ec,2025-06-19,2025-25,161.0,GH1,low-ec-to-verify
fwater_ec,2025-06-20,2025-25,158.0,GH1,low-ec-to-verify
fwater_ec,2025-06-21,2025-25,162.0,GH1,low-ec-to-verify
fwater_ec,2025-06-22,2025-25,158.0,GH1,low-ec-to-verify
fwater_ec,2025-06-23,2025-26,158.75,GH1,low-ec-to-verify
fwater_ec,2025-06-24,2025-26,163.5,GH1,low-ec-to-verify
fwater_ec,2025-06-25,2025-26,160.5,GH1,low-ec-to-verify
fwater_ec,2025-06-26,2025-26,163.33,GH1,low-ec-to-verify
fwater_ec,2025-06-27,2025-26,163.25,GH1,low-ec-to-verify
fwater_ec,2025-06-28,2025-26,155.0,GH1,low-ec-to-verify
fwater_ec,2025-06-29,2025-26,159.75,GH1,low-ec-to-verify
fwater_ec,2025-06-30,2025-27,,GH1,non-numeric
fwater_ec,2025-07-01,2025-27,,GH1,non-numeric
fwater_ec,2025-07-02,2025-27,,GH1,non-numeric
fwater_ec,2025-07-03,2025-27,,GH1,non-numeric
fwater_ec,2025-07-04,2025-27,,GH1,non-numeric
fwater_ec,2025-07-05,2025-27,,GH1,non-numeric
fwater_ec,2025-07-06,2025-27,,GH1,non-numeric
fwater_ec,2025-07-07,2025-28,,GH1,non-numeric
fwater_ec,2025-07-08,2025-28,,GH1,non-numeric
fwater_ec,2025-07-09,2025-28,,GH1,non-numeric
fwater_ec,2025-07-10,2025-28,,GH1,non-numeric
fwater_ec,2025-07-11,2025-28,,GH1,non-numeric
fwater_ec,2025-07-12,2025-28,,GH1,non-numeric
fwater_ec,2025-07-13,2025-28,,GH1,non-numeric
fwater_ec,2025-07-14,2025-29,,GH1,non-numeric
fwater_ec,2025-07-15,2025-29,,GH1,non-numeric
fwater_ec,2025-07-16,2025-29,,GH1,non-numeric
fwater_ec,2025-07-17,2025-29,,GH1,non-numeric
fwater_ec,2025-07-18,2025-29,,GH1,non-numeric
fwater_ec,2025-07-19,2025-29,,GH1,non-numeric
fwater_ec,2025-07-20,2025-29,,GH1,non-numeric
fwater_ec,2025-07-21,2025-30,,GH1,non-numeric
fwater_ec,2025-07-22,2025-30,,GH1,non-numeric
fwater_ec,2025-07-23,2025-30,,GH1,non-numeric
fwater_ec,2025-07-24,2025-30,,GH1,non-numeric
fwater_ec,2025-07-25,2025-30,,GH1,non-numeric
fwater_ec,2025-07-26,2025-30,,GH1,non-numeric
fwater_ec,2025-07-27,2025-30,,GH1,non-numeric
fwater_ec,2025-07-28,2025-31,,GH1,non-numeric
fwater_ec,2025-07-29,2025-31,,GH1,non-numeric
fwater_ec,2025-07-30,2025-31,,GH1,non-numeric
fwater_ec,2025-07-31,2025-31,,GH1,non-numeric
fwater_ec,2025-08-01,2025-31,,GH1,non-numeric
