resource_tag,crop_name,harvest_week_num,week_label,b2b_b_target_revenue,hotel_b_target_revenue,b2b_b_harvest_revenue,hotel_b_harvest_revenue,target_kg,kg_harvested,pct_of_target_kg,target_unit_g,harvest_unit_g,pct_of_target_unit_g,current_week
GH2,Thai Basil,2025-22,May-26 w22,5670,6300,6642,7380,7,8.2,17.14,43,40.80,-5.12,2025-26
GH2,Tuscan Kale,2025-22,May-26 w22,23760,23760,1800,1800,33,2.5,-92.42,45,6.72,-85.07,2025-26
GH1,Watercress,2025-10,Mar-03 w10,9600,9480,2400,2370,12,3,-75.00,24,10.75,-55.21,2025-26
GH1,Watercress,2025-11,Mar-10 w11,9600,9480,880,869,12,1.1,-90.83,24,11.83,-50.71,2025-26
GH1,Watercress,2025-12,Mar-17 w12,9600,9480,800,790,12,1,-91.67,24,10.75,-55.21,2025-26
GH1,Watercress,2025-13,Mar-24 w13,9600,9480,0,0,12,0,-100.00,24,null,null,2025-26
GH1,Watercress,2025-14,Mar-31 w14,9600,9480,1840,1817,12,2.3,-80.83,24,24.73,3.04,2025-26
GH1,Watercress,2025-15,Apr-07 w15,9600,9480,800,790,12,1,-91.67,24,10.75,-55.21,2025-26
GH1,Watercress,2025-16,Apr-14 w16,9600,9480,960,948,12,1.2,-90.00,24,12.90,-46.25,2025-26
GH1,Watercress,2025-17,Apr-21 w17,9600,9480,0,0,12,0,-100.00,24,null,null,2025-26
GH1,Watercress,2025-18,Apr-28 w18,9600,9480,0,0,12,0,-100.00,24,null,null,2025-26
GH1,Watercress,2025-19,May-05 w19,9600,9480,640,632,12,0.8,-93.33,24,8.60,-64.17,2025-26
GH1,Watercress,2025-20,May-12 w20,9600,9480,1760,1738,12,2.2,-81.67,24,4.73,-80.29,2025-26
GH1,Watercress,2025-21,May-19 w21,9600,9480,1680,1659,12,2.1,-82.50,24,6.77,-71.79,2025-26
GH1,Watercress,2025-22,May-26 w22,9600,9480,4160,4108,12,5.2,-56.67,24,11.18,-53.42,2025-26
GH1,Watercress,2025-27,Jun-30 w27,9600,9480,10000,9875,12,12.5,4.17,24,35.71,48.79,2025-26
