program_id,crop_id,crop_name,resource_tag,harvest_week_num,kg_harvested,units_harvested,seeding_date,transplant_date,harvest_date
895,9,Red Batavia,PNQ-GH3,2025-20,9.4,288,2025-03-17 00:00:00+00,2025-04-14 00:00:00+00,2025-05-12 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-20,40,512,2025-03-24 00:00:00+00,2025-04-17 00:00:00+00,2025-05-12 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-21,11.4,144,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-21,17.3,176,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
889,6,Green Salanova Butterhead,PNQ-GH3,2025-21,82.1,736,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-21,85.3,864,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-21,7.4,144,2025-03-24 00:00:00+00,2025-04-21 00:00:00+00,2025-05-19 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-21,50.3,512,2025-03-31 00:00:00+00,2025-04-24 00:00:00+00,2025-05-19 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-22,21.4,179,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-22,40.7,354,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
889,6,Green Salanova Butterhead,PNQ-GH3,2025-22,96.3,768,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
891,5,Green Salanova Oakleaf,PNQ-GH3,2025-22,106.9,881,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
895,9,Red Batavia,PNQ-GH3,2025-22,17.7,369,2025-03-31 00:00:00+00,2025-04-28 00:00:00+00,2025-05-26 00:00:00+00
899,8,Romaine,PNQ-GH3,2025-22,51.1,515,2025-04-07 00:00:00+00,2025-05-01 00:00:00+00,2025-05-26 00:00:00+00
905,42,Baby Romaine,PNQ-GH3,2025-23,null,null,2025-04-07 00:00:00+00,2025-05-05 00:00:00+00,2025-06-02 00:00:00+00
888,10,Green Batavia,PNQ-GH3,2025-23,null,null,2025-04-14 00:00:00+00,2025-05-08 00:00:00+00,2025-06-02 00:00:00+00
